x,y,z
7.93007,4.12543,38.69497
7.93906,8.58726,2.06907
7.94113,9.35013,21.78332
7.95323,13.92766,20.09012
7.97951,20.76445,6.59476
8.01507,0.18081,8.24041
8.0198,18.75919,21.76647
8.02135,11.12959,0.09645
8.05488,10.10042,1.32769
8.06835,10.92425,46.07075
8.09782,9.21118,13.87496
8.18788,0.20043,8.42624
8.18796,0.20265,8.42611
8.19465,43.87563,5.76031
8.19757,23.09625,19.34158
8.29076,13.08458,31.00829
8.32514,1.05401,10.13465
8.34708,11.5607,0.87059
8.36248,2.1259,22.52968
8.39614,2.28263,20.44802
8.40249,3.99767,8.56054
8.40518,12.81848,13.53653
8.40569,40.23487,12.02551
8.41091,38.72734,24.80097
8.41175,47.71972,31.21027
8.41897,25.91231,41.5685
8.44122,43.57962,13.52283
8.49373,18.55161,22.93023
8.54409,2.37016,12.28614
8.55533,0.34242,14.33485
8.59447,8.02199,8.04741
8.63854,22.69072,4.81576
8.66813,9.81266,7.16531
8.68469,5.65969,0.64856
8.69665,15.13371,2.52815
8.71911,32.86278,8.71934
8.72854,2.05816,16.26115
8.73128,19.79688,13.75899
8.73867,12.92548,4.67143
8.76164,26.3191,27.63322
8.77338,1.19023,38.4094
8.81399,2.48362,24.14137
8.82576,10.34452,10.72106
8.83184,10.70603,17.97789
8.83363,34.01756,17.6386
8.84185,12.56643,7.15402
8.8604,1.38881,47.28008
8.86824,1.76651,36.10098
8.89287,27.41656,42.09905
8.89308,34.2255,17.76287
8.90322,33.63857,20.82314
8.9068,20.95045,4.75188
8.91232,32.2925,0.26544
8.91824,27.73563,9.86725
8.92903,34.29389,16.25229
8.93628,9.91929,47.7982
8.9622,33.61832,16.32494
8.97285,18.50856,15.22149
9.00384,27.42687,29.87851
9.08113,8.76539,23.26607
9.10425,3.82826,27.53036
9.11652,29.56553,45.58928
9.13578,11.9594,5.50738
9.15221,18.64713,2.25654
9.17586,5.85853,2.2221
9.21306,20.17382,8.66195
9.2138,4.14082,8.90768
9.21555,21.27204,1.84564
9.2291,13.66655,4.93898
9.26711,32.15547,12.18191
9.27626,18.91037,2.28338
9.2797,28.57048,40.03275
9.29417,36.15816,9.24637
9.31341,5.3334,0.65982
9.3883,13.99069,5.62213
9.43067,45.75785,3.01061
9.43551,10.69786,0.16302
9.44609,2.15773,15.68911
9.44726,0.54168,25.08412
9.44774,14.54438,0.84485
9.44866,0.54662,25.08348
9.46893,21.58855,3.34168
9.47253,21.58814,3.33415
9.48802,33.0324,2.81043
9.49205,20.88597,6.36948
9.54474,5.07766,11.59435
9.58478,38.63602,40.90531
9.60176,26.28189,4.86683
9.60309,26.28086,4.86976
9.61365,3.53163,15.96971
9.61375,13.67534,7.96845
9.64111,37.10419,14.58562
9.64283,22.15472,37.92028
9.68871,35.06455,30.58702
9.72698,7.00211,35.16053
9.75534,12.34612,5.49401
9.75656,13.11855,27.6638
9.79176,24.8073,2.51432
9.82945,14.61846,8.16827
9.89972,34.48471,2.93131
9.91667,9.27794,27.13085
9.93459,0.38623,3.78524
9.96858,18.79598,21.02714
9.97333,12.85849,8.10988
9.97907,43.2279,43.30479
10.04941,45.07629,26.44775
10.06646,15.35793,16.20642
10.08434,37.1526,29.95873
10.08582,45.27424,5.84449
10.09924,5.94648,33.85844
10.10005,4.89019,0.84839
10.14256,10.72937,0.50718
10.1464,30.44549,1.8328
10.18918,8.24263,4.82722
10.19974,1.76951,4.02599
10.20271,34.94435,6.51795
10.26397,17.74964,10.04279
10.26916,11.47048,46.16213
10.27471,9.56712,7.94015
10.27563,15.35099,19.15319
10.30188,15.7233,8.36815
10.31886,16.9158,5.91322
10.40604,17.45368,27.5228
10.4431,0.93278,6.83467
10.44983,15.53106,8.64361
10.46779,8.51234,19.61781
10.50095,47.13047,25.71071
10.50257,47.13156,25.70805
10.5258,27.02734,23.60671
10.54109,5.69144,41.67766
10.55234,39.59311,33.65106
10.55298,15.08337,37.53491
10.59304,3.11297,5.99342
10.61349,0.28992,17.28321
10.61354,0.28824,17.2832
10.64499,2.38684,5.04469
10.66969,1.82764,6.40616
10.69122,12.97549,0.86722
10.73457,43.89999,42.60792
10.73758,26.01204,0.4814
10.74433,9.55799,4.24017
10.74905,10.66789,11.25399
10.76608,37.6554,2.00788
10.78374,37.76896,17.97658
10.80957,15.38828,8.96557
10.8254,40.21688,11.87705
10.83382,31.54619,35.72555
10.83869,6.70277,12.82953
10.83869,6.70277,12.82953
